resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,carPerformance
26286,1121,830,9,33,1,1,1,1,26,57,31:44.7,5504742,39,1,01:32.6,210.383,1,1
26287,1121,815,9,11,5,2,2,2,18,57,22.457,5527199,40,4,01:34.4,206.468,1,1
26288,1121,832,6,55,4,3,3,3,15,57,25.11,5529852,44,6,01:34.5,206.156,1,0.96
26289,1121,844,6,16,2,4,4,4,12,57,39.669,5544411,36,2,01:34.1,207.069,1,0.96
26290,1121,847,131,63,3,5,5,5,10,57,46.788,5551530,40,12,01:35.1,204.946,1,0.95
26291,1121,846,1,4,7,6,6,6,8,57,48.458,5553200,1,5,01:34.5,206.223,1,0.97
26292,1121,1,131,44,9,7,7,7,6,57,50.324,5555066,39,7,01:34.7,205.688,1,0.95
26293,1121,857,1,81,8,8,8,8,4,57,56.082,5560824,1,11,01:35.0,205.123,1,0.97
26294,1121,4,117,14,6,9,9,9,2,57,+1:14.887,5579629,48,3,01:34.2,206.83,1,0.88
26295,1121,840,117,18,12,10,10,10,1,57,+1:33.216,5597958,30,16,01:35.6,203.73,1,0.88
26296,1121,855,15,24,17,11,11,11,0,56,\N,\N,30,14,01:35.5,204.102,11,0.85
26297,1121,825,210,20,15,12,12,12,0,56,\N,\N,34,15,01:35.6,203.863,11,0.9
26298,1121,817,215,3,14,13,13,13,0,56,\N,\N,37,13,01:35.2,204.735,11,0.88
26299,1121,852,215,22,11,14,14,14,0,56,\N,\N,37,18,01:35.8,203.303,11,0.88
26300,1121,848,3,23,13,15,15,15,0,56,\N,\N,40,17,01:35.7,203.537,11,0.9
26301,1121,807,210,27,10,16,16,16,0,56,\N,\N,46,10,01:34.8,205.445,11,0.9
26302,1121,839,214,31,19,17,17,17,0,56,\N,\N,34,20,01:36.2,202.473,11,0.85
26303,1121,842,214,10,20,18,18,18,0,56,\N,\N,45,9,01:34.8,205.508,11,0.85
26304,1121,822,15,77,16,19,19,19,0,56,\N,\N,33,19,01:36.2,202.523,11,0.85
26305,1121,858,3,2,18,20,20,20,0,55,\N,\N,42,8,01:34.7,205.659,12,0.9
26306,1122,830,9,33,1,1,1,1,25,50,20:43.3,4843273,50,3,01:31.8,242.188,1,1
26307,1122,815,9,11,3,2,2,2,18,50,13.6431,4862704,37,8,01:32.3,240.876,1,1
26308,1122,844,6,16,2,3,3,3,16,50,18.639,4861912,50,1,01:31.6,242.561,1,0.96
26309,1122,857,1,81,5,4,4,4,12,50,32.007,4875280,1,10,01:32.3,240.779,1,0.97
26310,1122,4,117,14,4,5,5,5,10,50,35.759,4879032,43,13,01:32.4,240.579,1,0.88
26311,1122,847,131,63,7,6,6,6,8,50,39.936,4883209,42,7,01:32.3,240.926,1,0.95
26312,1122,860,6,38,11,7,7,7,6,50,42.679,4885952,50,5,01:32.2,241.103,1,0.96
26313,1122,846,1,4,6,8,8,8,4,50,45.708,4888981,1,4,01:31.9,241.738,1,0.97
26314,1122,1,131,44,8,9,9,9,2,50,47.391,4890664,38,2,01:31.7,242.26,1,0.95
26315,1122,807,210,27,15,10,10,10,1,50,+1:16.996,4920269,49,12,01:32.4,240.633,1,0.9
26316,1122,848,3,23,12,11,11,11,0,50,+1:28.354,4931627,50,9,01:32.3,240.787,1,0.9
26317,1122,825,210,20,13,12,12,12,0,50,+1:45.7373,4955646,47,11,01:32.3,240.706,1,0.9
26318,1122,839,214,31,17,13,13,13,0,49,\N,\N,48,17,01:33.5,237.763,11,0.85
26319,1122,858,3,2,19,14,14,14,0,49,\N,\N,44,18,01:33.5,237.657,11,0.9
26320,1122,852,215,22,9,15,15,15,0,49,\N,\N,49,15,01:33.0,238.926,11,0.88
26321,1122,817,215,3,14,16,16,16,0,49,\N,\N,47,16,01:33.3,238.166,11,0.88
26322,1122,822,15,77,16,17,17,17,0,49,\N,\N,49,14,01:32.7,239.751,11,0.85
26323,1122,855,15,24,20,18,18,18,0,49,\N,\N,49,6,01:32.2,241.046,11,0.85
26324,1122,840,117,18,10,\N,R,19,0,5,\N,\N,5,19,01:35.6,232.591,3,0.88
26325,1122,842,214,10,18,\N,R,20,0,1,\N,\N,\N,0,\N,\N,6,0.85
26326,1123,832,6,55,2,1,1,1,25,58,20:26.8,4826843,48,3,01:20.0,237.418,1,0.96
26327,1123,844,6,16,4,2,2,2,19,58,2.366,4829209,56,1,01:19.8,238.066,1,0.96
26328,1123,846,1,4,3,3,3,3,15,58,5.904,4832747,1,2,01:19.9,237.762,1,0.97
26329,1123,857,1,81,5,4,4,4,12,58,35.77,4862613,1,4,01:20.2,236.92,1,0.97
26330,1123,815,9,11,6,5,5,5,10,58,56.309,4883152,47,6,01:20.4,236.363,1,1
26331,1123,840,117,18,9,6,6,6,8,58,+1:33.222,4920065,49,8,01:20.9,234.78,1,0.88
26332,1123,852,215,22,8,7,7,7,6,58,+1:35.601,4922444,46,11,01:21.1,234.19,1,0.88
26333,1123,4,117,14,10,8,8,8,4,58,+1:40.992,4927835,52,7,01:20.5,236.055,1,0.88
26334,1123,807,210,27,16,9,9,9,2,58,+1:44.553,4931396,46,12,01:21.1,234.158,1,0.9
26335,1123,825,210,20,14,10,10,10,1,57,\N,\N,44,9,01:21.1,234.34,11,0.9
26336,1123,848,3,23,12,11,11,11,0,57,\N,\N,46,17,01:21.6,232.801,11,0.9
26337,1123,817,215,3,18,12,12,12,0,57,\N,\N,46,13,01:21.2,233.887,11,0.88
26338,1123,842,214,10,17,13,13,13,0,57,\N,\N,51,10,01:21.1,234.317,11,0.85
26339,1123,822,15,77,13,14,14,14,0,57,\N,\N,48,16,01:21.4,233.361,11,0.85
26340,1123,855,15,24,19,15,15,15,0,57,\N,\N,49,14,01:21.3,233.634,11,0.85
26341,1123,839,214,31,15,16,16,16,0,57,\N,\N,45,15,01:21.4,233.557,11,0.85
26342,1123,847,131,63,7,17,17,17,0,56,\N,\N,53,5,01:20.3,236.669,3,0.95
26343,1123,1,131,44,11,\N,R,18,0,15,\N,\N,11,18,01:22.4,230.469,5,0.95
26344,1123,830,9,33,1,\N,R,19,0,3,\N,\N,3,19,01:23.1,228.608,23,1
26345,1124,830,9,33,1,1,1,1,26,53,54:23.6,6863566,50,1,01:33.7,223.093,1,1
26346,1124,815,9,11,2,2,2,2,18,53,12.535,6876101,35,3,01:33.9,222.525,1,1
26347,1124,832,6,55,4,3,3,3,15,53,20.866,6884432,46,2,01:33.8,222.772,1,0.96
26348,1124,844,6,16,8,4,4,4,12,53,26.522,6890088,53,9,01:35.0,219.952,1,0.96
26349,1124,846,1,4,3,5,5,5,10,53,29.7,6893266,1,10,01:35.2,219.624,1,0.97
26350,1124,4,117,14,5,6,6,6,8,53,44.272,6907838,53,6,01:34.7,220.691,1,0.88
26351,1124,847,131,63,9,7,7,7,6,53,45.951,6909517,39,5,01:34.4,221.444,1,0.95
26352,1124,857,1,81,6,8,8,8,4,53,47.525,6911091,1,7,01:34.8,220.514,1,0.97
26353,1124,1,131,44,7,9,9,9,2,53,48.626,6912192,41,4,01:34.0,222.509,1,0.95
26354,1124,852,215,22,10,10,10,10,1,52,\N,\N,51,14,01:36.3,216.989,11,0.88
26355,1124,807,210,27,12,11,11,11,0,52,\N,\N,52,11,01:35.3,219.304,11,0.9
26356,1124,840,117,18,16,12,12,12,0,52,\N,\N,41,12,01:35.8,218.221,11,0.88
26357,1124,825,210,20,18,13,13,13,0,52,\N,\N,24,17,01:36.7,216.289,11,0.9
26358,1124,822,15,77,13,14,14,14,0,52,\N,\N,25,15,01:36.6,216.392,11,0.85
26359,1124,839,214,31,15,15,15,15,0,52,\N,\N,52,13,01:36.2,217.237,11,0.85
26360,1124,842,214,10,17,16,16,16,0,52,\N,\N,48,16,01:36.6,216.315,11,0.85
26361,1124,858,3,2,19,17,17,17,0,52,\N,\N,43,8,01:34.9,220.286,11,0.9
26362,1124,855,15,24,20,\N,R,18,0,12,\N,\N,9,18,01:37.2,215.162,6,0.85
26363,1124,817,215,3,11,\N,R,19,0,0,\N,\N,\N,0,\N,\N,3,0.88
26364,1124,848,3,23,14,\N,R,20,0,0,\N,\N,\N,0,\N,\N,3,0.9
26365,1125,830,9,33,1,1,1,1,25,56,40:52.6,6052554,33,2,01:38.4,199.414,1,1
26366,1125,846,1,4,4,2,2,2,18,56,13.773,6066327,1,4,01:38.8,198.717,1,0.97
26367,1125,815,9,11,2,3,3,3,15,56,19.16,6071714,33,7,01:39.4,197.444,1,1
26368,1125,844,6,16,6,4,4,4,12,56,23.623,6076177,33,6,01:39.4,197.452,1,0.96
26369,1125,832,6,55,7,5,5,5,10,56,33.983,6086537,19,10,01:39.8,196.7,1,0.96
26370,1125,847,131,63,8,6,6,6,8,56,38.724,6091278,39,11,01:40.1,196.016,1,0.95
26371,1125,4,117,14,3,7,7,7,7,56,43.414,6095968,45,1,01:37.8,200.629,1,0.88
26372,1125,857,1,81,5,8,8,8,4,56,56.198,6108752,1,9,01:39.7,196.749,1,0.97
26373,1125,1,131,44,18,9,9,9,2,56,57.986,6110540,34,14,01:40.8,194.61,1,0.95
26374,1125,807,210,27,9,10,10,10,1,56,+1:00.476,6113030,32,13,01:40.8,194.649,1,0.9
26375,1125,839,214,31,13,11,11,11,0,56,+1:02.812,6115366,33,15,01:40.9,194.414,1,0.85
26376,1125,848,3,23,14,12,12,12,0,56,+1:05.506,6118060,34,12,01:40.8,194.697,1,0.9
26377,1125,842,214,10,15,13,13,13,0,56,+1:09.223,6121777,40,5,01:39.2,197.822,1,0.85
26378,1125,855,15,24,16,14,14,14,0,56,+1:11.689,6124243,42,3,01:38.6,198.955,1,0.85
26379,1125,840,117,18,11,15,15,15,0,56,+1:22.786,6135340,37,8,01:39.4,197.333,1,0.88
26380,1125,825,210,20,17,16,16,16,0,56,+1:27.533,6140087,45,18,01:41.1,194.145,1,0.9
26381,1125,858,3,2,20,17,17,17,0,56,+1:35.110,6147664,14,17,01:41.0,194.293,1,0.9
26382,1125,817,215,3,12,\N,R,18,0,33,\N,\N,16,16,01:41.0,194.304,31,0.88
26383,1125,852,215,22,19,\N,R,19,0,26,\N,\N,11,20,01:41.6,193.158,31,0.88
26384,1125,822,15,77,10,\N,R,20,0,19,\N,\N,11,19,01:41.3,193.763,31,0.85
26385,1126,846,1,4,5,1,1,1,25,57,30:49.9,5449876,55,5,01:31.0,214.148,1,0.98
26386,1126,830,9,33,1,2,2,2,18,57,7.612,5457488,48,8,01:31.3,213.488,1,1
26387,1126,844,6,16,2,3,3,3,15,57,9.92,5459796,56,6,01:31.1,213.903,1,0.96
26388,1126,815,9,11,4,4,4,4,12,57,14.65,5464526,55,3,01:30.9,214.442,1,1
26389,1126,832,6,55,3,5,5,5,10,57,16.407,5466283,55,4,01:30.9,214.27,1,0.96
26390,1126,1,131,44,8,6,6,6,8,57,16.585,5466461,54,7,01:31.2,213.554,1,0.95
26391,1126,852,215,22,10,7,7,7,6,57,26.185,5476061,55,10,01:31.7,212.508,1,0.88
26392,1126,847,131,63,7,8,8,8,4,57,34.789,5484665,43,13,01:31.9,211.955,1,0.95
26393,1126,4,117,14,15,9,9,9,2,57,37.107,5486983,55,11,01:31.7,212.404,1,0.88
26394,1126,839,214,31,13,10,10,10,1,57,39.746,5489622,51,16,01:32.0,211.688,1,0.85
26395,1126,807,210,27,9,11,11,11,0,57,40.789,5490665,56,14,01:31.9,211.909,1,0.9
26396,1126,842,214,10,12,12,12,12,0,57,44.958,5494834,56,17,01:32.1,211.647,1,0.85
26397,1126,857,1,81,6,13,13,13,0,57,49.756,5499632,43,1,01:30.6,214.965,1,0.98
26398,1126,855,15,24,19,14,14,14,0,57,49.979,5499855,56,15,01:32.0,211.794,1,0.85
26399,1126,817,215,3,20,15,15,15,0,57,50.956,5500832,57,19,01:32.1,211.493,1,0.88
26400,1126,822,15,77,16,16,16,16,0,57,52.356,5502232,55,18,01:32.1,211.548,1,0.85
26401,1126,840,117,18,11,17,17,17,0,57,55.173,5505049,57,9,01:31.6,212.726,1,0.88
26402,1126,848,3,23,14,18,18,18,0,57,+1:16.091,5525967,55,2,01:30.8,214.456,1,0.9
26403,1126,825,210,20,18,19,19,19,0,57,+1:24.683,5534559,33,12,01:31.8,212.295,1,0.9
26404,1126,858,3,2,17,\N,R,20,0,27,\N,\N,15,20,01:33.5,208.483,4,0.9
26405,1127,830,9,33,1,1,1,1,25,63,25:25.3,5125252,38,9,01:20.4,219.898,1,0.95
26406,1127,846,1,4,2,2,2,2,18,63,0.725,5125977,54,6,01:20.0,220.921,1,1
26407,1127,844,6,16,3,3,3,3,15,63,7.916,5133168,27,5,01:19.9,221.084,1,0.96
26408,1127,857,1,81,5,4,4,4,12,63,14.132,5139384,25,4,01:19.9,221.162,1,1
26409,1127,832,6,55,4,5,5,5,10,63,22.325,5147577,63,7,01:20.2,220.299,1,0.96
26410,1127,1,131,44,8,6,6,6,8,63,35.104,5160356,43,8,01:20.3,219.994,1,0.95
26411,1127,847,131,63,6,7,7,7,7,63,47.154,5172406,54,1,01:18.6,224.871,1,0.95
26412,1127,815,9,11,11,8,8,8,4,63,54.776,5180028,52,3,01:19.7,221.775,1,0.95
26413,1127,840,117,18,13,9,9,9,2,63,+1:19.556,5204808,58,10,01:20.6,219.342,1,0.88
26414,1127,852,215,22,7,10,10,10,1,62,\N,\N,14,11,01:20.9,218.35,11,0.88
26415,1127,807,210,27,10,11,11,11,0,62,\N,\N,3,20,01:21.7,216.308,11,0.9
26416,1127,825,210,20,18,12,12,12,0,62,\N,\N,58,12,01:21.0,218.153,11,0.9
26417,1127,817,215,3,9,13,13,13,0,62,\N,\N,13,19,01:21.6,216.655,11,0.88
26418,1127,839,214,31,12,14,14,14,0,62,\N,\N,37,16,01:21.3,217.361,11,0.85
26419,1127,855,15,24,17,15,15,15,0,62,\N,\N,37,13,01:21.0,218.134,11,0.85
26420,1127,842,214,10,15,16,16,16,0,62,\N,\N,10,17,01:21.4,217.183,11,0.85
26421,1127,858,3,2,19,17,17,17,0,62,\N,\N,55,14,01:21.2,217.562,11,0.9
26422,1127,822,15,77,16,18,18,18,0,62,\N,\N,11,18,01:21.5,216.959,11,0.85
26423,1127,4,117,14,20,19,19,19,0,62,\N,\N,62,2,01:19.0,223.689,11,0.88
26424,1127,848,3,23,14,\N,R,20,0,51,\N,\N,48,15,01:21.3,217.442,31,0.9
26425,1128,844,6,16,1,1,1,1,25,78,23:15.6,8595554,\N,0,\N,\N,1,0.96
26426,1128,857,1,81,2,2,2,2,18,78,7.152,8602706,\N,0,\N,\N,1,1
26427,1128,832,6,55,3,3,3,3,15,78,7.585,8603139,\N,0,\N,\N,1,0.96
26428,1128,846,1,4,4,4,4,4,12,78,8.65,8604204,\N,0,\N,\N,1,1
26429,1128,847,131,63,5,5,5,5,10,78,13.309,8608863,\N,0,\N,\N,1,0.95
26430,1128,830,9,33,6,6,6,6,8,78,13.853,8609407,\N,0,\N,\N,1,0.95
26431,1128,1,131,44,7,7,7,7,7,78,14.908,8610462,\N,0,\N,\N,1,0.95
26432,1128,852,215,22,8,8,8,8,4,77,\N,\N,\N,0,\N,\N,11,0.88
26433,1128,848,3,23,9,9,9,9,2,77,\N,\N,\N,0,\N,\N,11,0.9
26434,1128,842,214,10,10,10,10,10,1,77,\N,\N,\N,0,\N,\N,11,0.85
26435,1128,4,117,14,14,11,11,11,0,76,\N,\N,\N,0,\N,\N,12,0.88
26436,1128,817,215,3,12,12,12,12,0,76,\N,\N,\N,0,\N,\N,12,0.88
26437,1128,822,15,77,17,13,13,13,0,76,\N,\N,\N,0,\N,\N,12,0.85
26438,1128,840,117,18,13,14,14,14,0,76,\N,\N,\N,0,\N,\N,12,0.88
26439,1128,858,3,2,15,15,15,15,0,76,\N,\N,\N,0,\N,\N,12,0.92
26440,1128,855,15,24,18,16,16,16,0,76,\N,\N,\N,0,\N,\N,12,0.85
26441,1128,839,214,31,11,\N,R,17,0,0,\N,\N,\N,0,\N,\N,4,0.85
26442,1128,815,9,11,16,\N,R,18,0,0,\N,\N,\N,0,\N,\N,4,0.95
26443,1128,807,210,27,19,\N,R,19,0,0,\N,\N,\N,0,\N,\N,4,0.9
26444,1128,825,210,20,20,\N,R,20,0,0,\N,\N,\N,0,\N,\N,4,0.9
26445,1129,830,9,33,2,1,1,1,25,70,45:47.9,6347927,70,4,01:15.6,207.751,1,0.95
26446,1129,846,1,4,3,2,2,2,18,70,3.879,6351806,67,3,01:15.6,207.782,1,1
26447,1129,847,131,63,1,3,3,3,15,70,4.317,6352244,70,2,01:14.9,209.621,1,0.95
26448,1129,1,131,44,7,4,4,4,13,70,4.915,6352842,70,1,01:14.9,209.73,1,0.95
26449,1129,857,1,81,4,5,5,5,10,70,10.199,6358126,65,5,01:16.2,205.904,1,1
26450,1129,4,117,14,6,6,6,6,8,70,17.51,6365437,70,6,01:16.3,205.753,1,0.88
26451,1129,840,117,18,9,7,7,7,6,70,23.625,6371552,70,9,01:16.8,204.523,1,0.88
26452,1129,817,215,3,5,8,8,8,4,70,28.672,6376599,68,12,01:17.1,203.689,1,0.88
26453,1129,842,214,10,15,9,9,9,2,70,30.021,6377948,70,11,01:17.0,203.856,1,0.85
26454,1129,839,214,31,18,10,10,10,1,70,30.313,6378240,70,10,01:17.0,203.859,1,0.87
26455,1129,807,210,27,17,11,11,11,0,70,30.824,6378751,67,8,01:16.7,204.733,1,0.9
26456,1129,825,210,20,14,12,12,12,0,70,31.253,6379180,68,7,01:16.5,205.226,1,0.9
26457,1129,822,15,77,0,13,13,13,0,70,40.487,6388414,65,13,01:17.3,203.231,1,0.85
26458,1129,852,215,22,8,14,14,14,0,70,52.694,6400621,70,14,01:17.3,203.075,1,0.88
26459,1129,855,15,24,0,15,15,15,0,69,\N,\N,68,15,01:17.3,203.033,11,0.85
26460,1129,832,6,55,12,\N,R,16,0,52,\N,\N,51,17,01:19.0,198.837,4,0.98
26461,1129,848,3,23,10,\N,R,17,0,52,\N,\N,51,18,01:19.4,197.83,4,0.92
26462,1129,815,9,11,16,\N,R,18,0,51,\N,\N,51,16,01:18.8,199.185,3,0.95
26463,1129,844,6,16,11,\N,R,19,0,40,\N,\N,39,19,01:26.0,182.528,5,0.98
26464,1129,858,3,2,13,\N,R,20,0,23,\N,\N,19,20,01:26.5,181.531,3,0.92
26465,1130,830,9,33,2,1,1,1,25,66,28:20.2,5300227,54,2,01:17.8,215.557,1,0.95
26466,1130,846,1,4,1,2,2,2,19,66,2.219,5302446,51,1,01:17.1,217.405,1,1
26467,1130,1,131,44,3,3,3,3,15,66,17.79,5318017,46,4,01:17.8,215.466,1,0.95
26468,1130,847,131,63,4,4,4,4,12,66,22.32,5322547,50,7,01:18.3,214.142,1,0.98
26469,1130,844,6,16,5,5,5,5,10,66,22.709,5322936,52,6,01:17.9,215.222,1,0.98
26470,1130,832,6,55,6,6,6,6,8,66,31.028,5331255,39,9,01:18.5,213.463,1,0.98
26471,1130,857,1,81,9,7,7,7,6,66,33.76,5333987,56,5,01:17.9,215.286,1,1
26472,1130,815,9,11,11,8,8,8,4,66,59.524,5359751,51,3,01:17.8,215.532,1,0.95
26473,1130,842,214,10,7,9,9,9,2,66,+1:02.025,5362252,51,13,01:19.0,212.096,1,0.87
26474,1130,839,214,31,8,10,10,10,1,66,+1:11.889,5372116,54,12,01:19.0,212.266,1,0.87
26475,1130,807,210,27,13,11,11,11,0,66,+1:19.215,5379442,49,10,01:18.6,213.273,1,0.9
26476,1130,4,117,14,10,12,12,12,0,65,\N,\N,50,8,01:18.3,214.022,11,0.88
26477,1130,855,15,24,15,13,13,13,0,65,\N,\N,50,11,01:18.8,212.834,11,0.85
26478,1130,840,117,18,14,14,14,14,0,65,\N,\N,50,15,01:19.3,211.366,11,0.85
26479,1130,817,215,3,18,15,15,15,0,65,\N,\N,61,17,01:19.5,211.015,11,0.9
26480,1130,822,15,77,12,16,16,16,0,65,\N,\N,13,18,01:19.6,210.596,11,0.85
26481,1130,825,210,20,16,17,17,17,0,65,\N,\N,33,19,01:19.8,210.077,11,0.9
26482,1130,848,3,23,0,18,18,18,0,65,\N,\N,45,14,01:19.1,211.863,11,0.92
26483,1130,852,215,22,17,19,19,19,0,65,\N,\N,56,16,01:19.4,211.023,11,0.9
26484,1130,858,3,2,19,20,20,20,0,64,\N,\N,38,20,01:20.2,209.115,12,0.92
